Assessment Name,URL,Remote Testing Support,Adaptive/IRT Support,Duration (min),Test Type
Cognitive Ability Test,https://www.shl.com/solutions/products/cognitive-ability-test/,Yes,Yes,20,Cognitive
Personality Profiler,https://www.shl.com/solutions/products/personality-profiler/,No,No,25,Personality
Java Developer Test,https://www.shl.com/solutions/products/java-developer-test/,Yes,No,30,Technical
Team Collaboration Assessment,https://www.shl.com/solutions/products/team-collaboration-assessment/,No,Yes,35,Behavioral
SQL Proficiency Test,https://www.shl.com/solutions/products/sql-proficiency-test/,Yes,No,40,Aptitude
Leadership Style Inventory,https://www.shl.com/solutions/products/leadership-style-inventory/,No,No,45,Situational
Customer Service Aptitude,https://www.shl.com/solutions/products/customer-service-aptitude/,Yes,Yes,20,Reasoning
Verbal Reasoning Test,https://www.shl.com/solutions/products/verbal-reasoning-test/,No,No,25,Communication
Numerical Reasoning Test,https://www.shl.com/solutions/products/numerical-reasoning-test/,Yes,No,30,Cognitive
Critical Thinking Assessment,https://www.shl.com/solutions/products/critical-thinking-assessment/,No,Yes,35,Personality
Python Coding Test,https://www.shl.com/solutions/products/python-coding-test/,Yes,No,40,Technical
Emotional Intelligence Survey,https://www.shl.com/solutions/products/emotional-intelligence-survey/,No,No,45,Behavioral
Situational Judgment Test,https://www.shl.com/solutions/products/situational-judgment-test/,Yes,Yes,20,Aptitude
Time Management Evaluation,https://www.shl.com/solutions/products/time-management-evaluation/,No,No,25,Situational
Data Analysis Assessment,https://www.shl.com/solutions/products/data-analysis-assessment/,Yes,No,30,Reasoning
Software Engineering Exam,https://www.shl.com/solutions/products/software-engineering-exam/,No,Yes,35,Communication
Finance & Accounting Aptitude,https://www.shl.com/solutions/products/finance-and-accounting-aptitude/,Yes,No,40,Cognitive
Logical Reasoning Test,https://www.shl.com/solutions/products/logical-reasoning-test/,No,No,45,Personality
Communication Skills Test,https://www.shl.com/solutions/products/communication-skills-test/,Yes,Yes,20,Technical
Machine Learning Quiz,https://www.shl.com/solutions/products/machine-learning-quiz/,No,No,25,Behavioral
Cognitive Ability Test,https://www.shl.com/solutions/products/cognitive-ability-test/,Yes,No,30,Aptitude
Personality Profiler,https://www.shl.com/solutions/products/personality-profiler/,No,Yes,35,Situational
Java Developer Test,https://www.shl.com/solutions/products/java-developer-test/,Yes,No,40,Reasoning
Team Collaboration Assessment,https://www.shl.com/solutions/products/team-collaboration-assessment/,No,No,45,Communication
